Symbol,Name
1995.HK,ES SERVICES
2068.HK,CHALIECO
0440.HK,DAH SING
89618.HK,JD-SWR
80941.HK,CHINA MOBILE-R
0811.HK,XINHUA WINSHARE
2588.HK,BOC AVIATION
1381.HK,CANVEST ENV
0314.HK,SIPAI HEALTH
3339.HK,LONKING
0775.HK,CKLIFE SCIENCES
3877.HK,CSSC SHIPPING
2880.HK,LIAONING PORT
1992.HK,FOSUN TOURISM
0856.HK,VSTECS
6608.HK,BAIRONG-W
3669.HK,YONGDA AUTO
9898.HK,WB-SW
0799.HK,IGG
0133.HK,CHINA MERCHANTS
2378.HK,PRU
1911.HK,CR HOLDINGS
1052.HK,YUEXIUTRANSPORT
9956.HK,ANE
3393.HK,WASION HOLDINGS
0990.HK,THEME INT'L
1268.HK,MEIDONG AUTO
2486.HK,PLUS GP HOLDING
6100.HK,TONGDAO LIEPIN
2549.HK,CAROTE
1638.HK,KAISA GROUP
6955.HK,BOAN BIOTECH
9923.HK,YEAHKA
2977.HK,KINGKEY FIN-OLD
1813.HK,KWG GROUP
0004.HK,WHARF HOLDINGS
2039.HK,CIMC
2638.HK,HKELECTRIC-SS
1769.HK,SCHOLAR EDU
1310.HK,HKBN
6993.HK,BLUE MOON GROUP
3309.HK,C-MER MEDICAL
3866.HK,BQD
0604.HK,SHENZHEN INVEST
2393.HK,YESTAR HEALTH
1108.HK,TRIUMPH NEW EN
0308.HK,CHINA TRAVEL HK
1666.HK,TONG REN TANG
0551.HK,YUE YUEN IND
1238.HK,POWERLONG
6616.HK,GLOBAL NEW MAT
9878.HK,HUITONGDA NET
3700.HK,INKEVERSE
80700.HK,TENCENT-R
9699.HK,SF INTRA-CITY
1341.HK,HAO TIAN INTL
0107.HK,SICHUAN EXPRESS
0743.HK,ASIA CEMENT CH
3983.HK,CHINA BLUECHEM
81211.HK,BYD COMPANY-R
2342.HK,COMBA
0493.HK,GOME RETAIL
1330.HK,DYNAGREEN ENV
0588.HK,BEIJING N STAR
1606.HK,CDB LEASING
0286.HK,AIDIGONG
0178.HK,SA SA INT'L
0341.HK,CAFE DE CORAL H
1735.HK,CENTRAL NEW EGY
3600.HK,MODERN DENTAL
1691.HK,JS GLOBAL LIFE
1133.HK,HARBIN ELECTRIC
1836.HK,STELLA HOLDINGS
2459.HK,SANERGY GROUP
0580.HK,SUN.KING TECH
0826.HK,TIANGONG INT'L
9666.HK,JINKE SERVICES
1405.HK,DPC DASH
1121.HK,GOLDENSOLAR
1873.HK,VIVA BIOTECH
3301.HK,RONSHINECHINA
2038.HK,FIH
0506.HK,CHINA FOODS
0023.HK,BANK OF E ASIA
2190.HK,ZYLOXTB-B
0412.HK,SDHG
0697.HK,SHOUCHENG
0232.HK,CON AERO TECH
1086.HK,GOODBABY INTL
6639.HK,ARRAIL GROUP
1196.HK,REALORD GROUP
0895.HK,DONGJIANG ENV
2203.HK,BRAINHOLE TECH
0732.HK,TRULY INT'L
1866.HK,CHINA XLX FERT
